molecule,odor
CC(=CCC[C@](C)(C=C)OC(=O)C)C,"SubString{String}[""green""]"
COC1=CC=C(C=C1)CC2CC2,"SubString{String}[""sweet"", ""root"", ""beer"", ""anise"", ""spicy"", ""herbal"", ""sassafrass"", ""anisic"", ""licorice"", ""black"", ""tarragon""]"
CCCCCCCC1(OCC(O1)C)C,"SubString{String}[""floral"", ""herbal"", ""fruity"", ""fatty""]"
CC(C)C1CCC(S1)(C)CCOC(=O)C,"SubString{String}[""strawberry"", ""tropical"", ""pepper"", ""bell""]"
C[C@@H](CC=O)SC,"SubString{String}[""vegetable"", ""sulfurous"", ""buchu"", ""cabbage"", ""fishy"", ""green"", ""potato"", ""chip"", ""musk""]"
CCCCCC#C/C=C\C=C,"SubString{String}[""greasy"", ""floral"", ""violet"", ""leaf"", ""fruity"", ""green"", ""tropical"", ""chicken"", ""coup""]"
CCCCC=CC(=O)C,"SubString{String}[""sweet"", ""spicy"", ""mushroom"", ""blueberry"", ""herbal"", ""oily"", ""earthy"", ""hay"", ""ketonic""]"
CC1=C[C@@H]([C@@H](CC1)C(C)C)O,"SubString{String}[""herbal""]"
CC1=C[C@@H]([C@H](CC1)C(C)C)O,"SubString{String}[""herbal""]"
CC1(C2C[C@@H](C(=C)C1C2)O)C,"SubString{String}[""herbal""]"
CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"SubString{String}[""bland""]"
CC1=CCC2(CC1C2(C)C)O,"SubString{String}[""musty"", ""dusty""]"
CCCCC/C=C\C/C=C\CCCCCCCC[N+](CCCOCCO)(CCOCCO)CC(CO)O.[Cl-],"SubString{String}[""bland""]"
CCCC(=O)OCC=CC=CC,"SubString{String}[""fruity"", ""winey"", ""green"", ""dairy"", ""cheesy""]"
CCCCCCOC(=O)C(=CC)C,"SubString{String}[""natural"", ""herbal"", ""fruity"", ""oily"", ""fresh"", ""green""]"
CCCCCCCCOC(=O)CC(=O)OCCCCCCCC,"SubString{String}[""fatty""]"
CC(=C)[C@H]1CC[C@@]2(CCCC(=C)[C@H]2C1)C,"SubString{String}[""herbal""]"
CCCCCC(=O)OC(C)CO,"SubString{String}[""fruity"", ""green"", ""ethereal""]"
CCCCCCC1OCCO1,"SubString{String}[""cortex"", ""fatty"", ""plastic"", ""fruity"", ""oily"", ""fresh"", ""wet"", ""green"", ""narcissus""]"
CCCCCCC1OCC(O1)CO,"SubString{String}[""sweet"", ""green"", ""mossy"", ""fungal"", ""earthy""]"
CCC=CCCOC(=O)C,"SubString{String}[""banana"", ""apple"", ""fruity"", ""green""]"
COC1=CC=C(C=C1)C(=O)OCC(=O)[O-].[Na+],"SubString{String}[""roasted"", ""brown"", ""cooked""]"
C1CCCCOCCCCCCOC(=O)CCC1,"SubString{String}[""sweet"", ""animal"", ""floral"", ""fruity"", ""oily"", ""musk""]"
CC1=CCC(C1(C)C)CCOC(=O)C,"SubString{String}[""sweet"", ""woody"", ""floral"", ""violet""]"
CC(C)(C)[C@@H]1CCCCC1=O,"SubString{String}[""camphoreous"", ""woody"", ""minty"", ""orris""]"
CC[C@H](C)CCC(=O)O,"SubString{String}[""fatty"", ""caprylic""]"
CC[C@H](C)C(=O)O,"SubString{String}[""sweet"", ""fruity""]"
CC[C@H](C)CC=O,"SubString{String}[""pungent"", ""fruity"", ""fresh"", ""green""]"
CC[C@H](C)C=O,"SubString{String}[""cocoa"", ""coffee"", ""fruity"", ""fresh""]"
CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"SubString{String}[""bland""]"
CCC1(C(C(=CC(=O)C1C)C)C)C,"SubString{String}[""caramellic"", ""fruity"", ""spicy"", ""warm""]"
C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(O2)C(C9O)O)CO)CO)CO)CO)CO)CO)CO)O)O)O,"SubString{String}[""odorless""]"
CC1=C(SC=N1)C=C,"SubString{String}[""musty"", ""vegetable"", ""root"", ""beer"", ""cocoa"", ""nutty"", ""rooty""]"
CCCCCCOCC(OC)OC,"SubString{String}[""sweet"", ""leafy"", ""floral"", ""fruity"", ""fresh"", ""green""]"
CC1=CCC(CC1)C(=CCC=C(C)C)C,"SubString{String}[""floral"", ""spicy"", ""balsamic""]"
CC[C@H](C)CCCO,"SubString{String}[""nutty"", ""spicy"", ""green"", ""sour""]"
CC1CCC(C2C13C2C(=CC3)C)C(C)C,"SubString{String}[""herbal"", ""waxy""]"
CC(C)[C@@]12CC[C@@]([C@@H]1C2)(C)O,"SubString{String}[""woody"", ""balsam""]"
CCCCCCCCCCC(CCCCCC)COCC(C)OCC(C)OCCOC(=O)C,"SubString{String}[""bland""]"
C/C(=C/C[C@@H]1[C@]2(CCCC([C@@H]2CC[C@@]1(C)O)(C)C)C)/C=C,"SubString{String}[""amber"", ""ambergris"", ""woody"", ""balsamic""]"
C1C2COCOC2C3=CC=CC=C31,"SubString{String}[""jasmin"", ""earthy"", ""animal"", ""fecal""]"
CC1CCC(C(C1)OCC2COC(O2)C3=CC(=C(C=C3)O)OC)C(C)C,"SubString{String}[""vanilla"", ""minty""]"
CC(=O)C1(CC2(C(O1)(OC(O2)(C)C(=O)C)C)O)C,"SubString{String}[""roasted"", ""buttery""]"
CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-],"SubString{String}[""bland""]"
CCC(C)(C)C1CCC(CC1)OCC,"SubString{String}[""marine"", ""ozone"", ""fresh"", ""outdoors"", ""green"", ""pepper"", ""bell""]"
CC(C)(C)C1=CC=C(C=C1)CCC=O,"SubString{String}[""sweet"", ""cyclamen"", ""floral"", ""fresh"", ""watery""]"
CCC1=NC(=CN=C1C=C)C,"SubString{String}[""earthy""]"
CC1([C@H]2CCC(=C)[C@@H]1C2)C,"SubString{String}[""dry"", ""resinous"", ""herbal"", ""fresh"", ""green"", ""woody"", ""hay"", ""pine""]"
CC(C)OC(=O)C1=CC=CC=C1N,"SubString{String}[""floral"", ""neroli"", ""honey"", ""hawthorn""]"
CCCCCCCCCCOC(=O)C1=CC=CC=C1N,"SubString{String}[""floral"", ""neroli"", ""grape""]"
C[C@@H]1[C@H]2CCC(=C[C@H]2OC1=O)C,"SubString{String}[""sweet"", ""dill"", ""spicy"", ""coconut""]"
CC[C@H](C)C1=NC=CS1,"SubString{String}[""spicy"", ""herbal"", ""bean"", ""green"", ""tomato"", ""leaf"", ""raw""]"
C[C@H]1CC[C@H](C(=O)C1)C(C)C,"SubString{String}[""minty""]"
CC1=CC=C(CC1)C(=C)C,"SubString{String}[""herbal"", ""terpenic"", ""tropical"", ""oily"", ""thyme"", ""camphoreous"", ""cooling"", ""woody"", ""chemical"", ""pine""]"
C[C@H]1CC[C@H](CC2=C1C(=O)C[C@@H]2C)C(=C)C,"SubString{String}[""peppery"", ""woody"", ""agarwood""]"
CC/C=C(\C)/COC(=O)C,"SubString{String}[""pear"", ""melon"", ""fruity"", ""banana""]"
CCCCCCC/C=C/CO,"SubString{String}[""rue"", ""rummy"", ""fatty"", ""rose"", ""ozone"", ""citrus"", ""waxy""]"
CCC/C=C\C=C\CO,"SubString{String}[""fatty"", ""chicken"", ""creamy"", ""fat"", ""waxy""]"
CCCC1=NC(=CN=C1C)C,"SubString{String}[""hazelnut"", ""nutty""]"
CC1=CN=C(C(=N1)CCC(C)C)C,"SubString{String}[""fruity""]"
CCCCCCC1CCOC1=O,"SubString{String}[""sweet"", ""floral"", ""fruity"", ""coconut"", ""grassy"", ""green""]"
CC(=CCC/C(=C/CCC=O)/C)C,"SubString{String}[""aldehydic"", ""marine"", ""floral"", ""ozone"", ""citrus""]"
CC(C)CCCC(C)(C=C)O,"SubString{String}[""camphoreous"", ""woody"", ""citrus""]"
CCC(C)(C=CC=C(C)C)O,"SubString{String}[""sweet"", ""floral"", ""fresh"", ""lily"", ""citrus""]"
CC1([C@H]2CC1CC=C2C=O)C,"SubString{String}[""spicy"", ""cinnamon"", ""terpenic"", ""camphoreous"", ""jammy"", ""tonka""]"
CC1C2=C(CCCC2(C)C)CCC1(C)C(=O)C,"SubString{String}[""floral"", ""woody"", ""amber""]"
C(CC(=O)[O-])[C@@H](C(=O)[O-])N.[Mg+2],"SubString{String}[""odorless""]"
COC1=CC2=C(C=C1CC=C)OCO2,"SubString{String}[""peppery"", ""spicy""]"
CC(=CCC/C(=C\C(=O)OC)/C)C,"SubString{String}[""floral"", ""herbal"", ""fruity"", ""green"", ""geranium"", ""citrus""]"
C=CCOC(=O)C=CC1=CC=CC=C1,"SubString{String}[""spicy"", ""plum"", ""fruity"", ""pineapple"", ""apricot"", ""cinnamyl"", ""balsamic"", ""peach""]"
CC1=CC(=CC=C1)CCO,"SubString{String}[""lilac"", ""floral"", ""rose"", ""muguet"", ""jasmin"", ""woody""]"
CC[C@H](C)CS,"SubString{String}[""meaty"", ""sulfurous"", ""bloody""]"
CCCCCCCCCCCCCCC(=O)C,"SubString{String}[""fruity""]"
CCOC1=C(C=CC(=C1)C=O)O.CC(C)C(=O)[O-],"SubString{String}[""sweet"", ""vanilla"", ""rummy"", ""caramellic"", ""creamy"", ""milky"", ""chocolate""]"
C1=CC=C(C=C1)/C=C/C#N,"SubString{String}[""spicy"", ""cumin"", ""cinnamon"", ""cassia""]"
CC/C=C\CCOC(=O)C1CC1,"SubString{String}[""natural"", ""floral"", ""fresh"", ""green"", ""fruit"", ""tropical""]"
CCCCC[C@@H]1[C@@H](O1)/C=C/C=O,"SubString{String}[""metallic"", ""aldehydic"", ""citrus"", ""green""]"
CCOC1CC2CCC1(C2(C)C)C,"SubString{String}[""blueberry"", ""eucalyptus"", ""camphoreous"", ""cedarwood"", ""woody""]"
CC1=C[C@@H](C2CC1C2(C)C)O,"SubString{String}[""balsamic""]"
COC(=O)CC/C=C/CC=C,"SubString{String}[""pear"", ""fruity"", ""green""]"
C(C(=O)O)C(CC(=O)O)(C(=O)[O-])O.[Na+],"SubString{String}[""odorless""]"
CCCCC=CC(=O)O,"SubString{String}[""ethereal"", ""fruity"", ""green"", ""grassy""]"
C[C@H]1CCC(=O)O1,"SubString{String}[""faint""]"
CCCCCCOC(=O)/C=C/C(=O)OCCCCCC,"SubString{String}[""magnolia"", ""cortex"", ""floral"", ""herbal"", ""plastic"", ""fresh"", ""green""]"
C[C@@H](CO)C1=CC=CC=C1,"SubString{String}[""foliage"", ""floral"", ""fruity"", ""hawthorn"", ""peony"", ""hyacinth""]"
CC1COCC2=CC3=C(C=C12)C(CCC3(C)C)(C)C,"SubString{String}[""musk""]"
CC(COC(=O)C1=CC=CC=C1)OC(=O)C2=CC=CC=C2,"SubString{String}[""metallic"", ""algae"", ""shellfish"", ""ethereal"", ""salmon""]"
C(CC(=O)[O-])[C@@H](C(=O)[O-])N.[Ca+2],"SubString{String}[""odorless""]"
CC(=CCCC(=CCCC(=CC=O)C)C)C,"SubString{String}[""floral"", ""minty""]"
CC(C)C1=CC2=C(C=C1)C3(CCCC(C3CC2)(C)C)C,"SubString{String}[""woody"", ""spicy"", ""herbal""]"
C[C@H]1CC[C@@H]2[C@]13CC(=C(C)C)[C@](O3)(C=C2C)O,"SubString{String}[""fresh"", ""fatty""]"
CC1=C[C@H]2[C@@H](CC[C@@]([C@H]2CC1)(C)O)C(C)C,"SubString{String}[""herbal"", ""honey""]"
CCC1(C(O1)(C)C2=CC=CC=C2)C(=O)OCC,"SubString{String}[""berry"", ""strawberry"", ""fruity"", ""jammy"", ""raspberry""]"
C[C@@H](CC/C=C(\C)/CCC=C(C)C)CC=O,"SubString{String}[""cyclamen"", ""floral"", ""orchid"", ""creamy"", ""muguet"", ""green"", ""watery"", ""waxy""]"
C[C@H]1CC[C@H]([C@@H](C1)OCC(C)(CO)O)C(C)C,"SubString{String}[""cooling"", ""minty""]"
CC/C=C/CCCCOC(=O)CC,"SubString{String}[""leafy"", ""banana"", ""melon"", ""cucumber"", ""violet"", ""leaf"", ""apple"", ""green"", ""woody"", ""tropical"", ""watermelon""]"
COC1=CC=C(C=C1)C=CC=O,"SubString{String}[""sweet"", ""vanilla"", ""spicy"", ""cinnamon"", ""floral"", ""smoky"", ""candy"", ""cherry""]"
C/C(=C\C/C=C(/C)\C=C)/COC(=O)C,"SubString{String}[""fruity""]"
CCCCCCCCCC#N,"SubString{String}[""musty"", ""fatty"", ""cognac"", ""oily"", ""fresh"", ""waxy""]"
CC1=CC=CC=C1CCO,"SubString{String}[""cyclamen"", ""natural"", ""floral"", ""rose"", ""mimosa"", ""green"", ""peony"", ""earthy"", ""waxy""]"
CCCCOC(=O)CC=CC,"SubString{String}[""herbal"", ""chamomile""]"
C[C@]1(C[C@@H]1C[C@@H]2C[C@H]3C[C@]3(C2(C)C)C)CO,"SubString{String}[""cologne"", ""fatty"", ""floral"", ""herbal"", ""sandalwood"", ""woody"", ""tropical""]"
CC1=CN=C(C(=N1)OC)C,"SubString{String}[""earthy""]"
C[C@@H]1CC[C@@H]2[C@]13CC[C@]([C@H](C3)C2(C)C)(C)OC,"SubString{String}[""dry"", ""ambergris"", ""cedar"", ""vetiver"", ""woody"", ""earthy""]"
C/C/1=C\CCC2([C@H](O2)CC(/C=C/C1)(C)C)C,"SubString{String}[""herbal""]"
CC1([C@H]2CC=C([C@@H]1C2)CO)C,"SubString{String}[""medicinal"", ""balsamic"", ""woody"", ""minty"", ""pine""]"
CC1([C@@H]2CCC(=C)[C@H]1C2)C,"SubString{String}[""sweet"", ""terpenic"", ""fresh"", ""green"", ""woody"", ""hay"", ""pine""]"
CC1=C[C@H]2[C@@H](CC[C@]([C@H]2CC1)(C)O)C(C)C,"SubString{String}[""herbal"", ""spicy"", ""honey""]"
C/C(=C\C=C)/CC(C)(C=C)O,"SubString{String}[""sweet"", ""spicy"", ""floral"", ""ginger"", ""tropical"", ""fennel""]"
CC/C=C\CC1C(CCC1=O)CC(=O)OC,"SubString{String}[""floral"", ""jasmin""]"
CC(C)CC=CC(=O)C,"SubString{String}[""herbal"", ""oily"", ""green""]"
CCCC/C=C\CCO,"SubString{String}[""spicy"", ""fatty"", ""greasy"", ""cortex"", ""herbal"", ""melon"", ""fusel"", ""fresh"", ""green"", ""earthy""]"
CCCCCCCC(=CC1=CC=CC=C1)C=O,"SubString{String}[""leafy"", ""fruity"", ""green""]"
CCCCCC#CCC,"SubString{String}[""cucumber"", ""marine"", ""green""]"
CCCCCC1CCOC(O1)C,"SubString{String}[""musty"", ""green"", ""ethereal""]"
CCCCCC1CCOC(O1)CCCCC,"SubString{String}[""green"", ""fatty""]"
CCC=CCO,"SubString{String}[""green""]"
CC(=O)O[C@@H]1CCCC[C@@H]1C(C)(C)C,"SubString{String}[""lime"", ""spicy"", ""fruity"", ""camphoreous"", ""marjoram"", ""fir"", ""needle"", ""bergamot"", ""woody""]"
CC(=O)O[C@H]1CCC[C@@H](C1)C(C)(C)C,"SubString{String}[""floral"", ""camphoreous"", ""fresh"", ""woody"", ""orris""]"
C[C@@H](CCC=C(C)C)C1CCC(=C)C=C1,"SubString{String}[""herbal"", ""fruity"", ""woody""]"
CC(C)C1=C[C@H]([C@@](CC1)(C)C=C)C(=C)C,"SubString{String}[""sweet"", ""herbal"", ""lavender"", ""woody""]"
CC(=O)O[C@H]1CC2CCC1(C2(C)C)C,"SubString{String}[""camphoreous"", ""herbal"", ""fir"", ""needle"", ""balsamic""]"
CC(CC(C)(C)C1=CC=CC=C1)O,"SubString{String}[""lilac"", ""floral"", ""muguet"", ""green"", ""hyacinth""]"
CC(=C)[C@H]1CCC2(C(C1)O2)C,"SubString{String}[""minty"", ""cool""]"
CC1=CC(=CC(=C1C(=O)C)C)C(C)(C)C,"SubString{String}[""dry"", ""rose"", ""labdanum"", ""woody"", ""orangeflower"", ""musk""]"
C[C@H](CCC=C(C)C)CCOC(=O)C,"SubString{String}[""dirty"", ""lime"", ""citrus"", ""aldehydic""]"
C[C@@H]1CC(=O)C[C@H]2[C@]1(C[C@@H](CC2)C(=C)C)C,"SubString{String}[""grapefruit"", ""citrus"", ""peel""]"
CCCCOC(=O)C1=CC=CC=C1O,"SubString{String}[""ethyl"", ""benzoate"", ""clover"", ""harsh""]"
CCCCC/C=C\C=O,"SubString{String}[""leafy"", ""fatty"", ""fruity"", ""walnut"", ""green""]"
CC(C)C(=O)OC1=C(C=C(C=C1)C=O)OC,"SubString{String}[""sweet"", ""vanilla"", ""caramellic"", ""fruity"", ""creamy"", ""chocolate""]"
C/C=C/C1=CC(=C(C(=C1)OC)O)OC,"SubString{String}[""sweet"", ""spicy""]"
CC(C)(C)C1CCC(CC1)C=O,"SubString{String}[""floral"", ""woody""]"
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC(=C(C=C4)OC)O)O)CO)O)O)O)O)O,"SubString{String}[""bland"", ""odorless""]"
CC(CCC=C(C)C)CCOC(=O)C=C(C)C,"SubString{String}[""floral"", ""geranium"", ""rose"", ""red""]"
CC(C)C1=C(C(=CC=C1)C(C)C)O,"SubString{String}[""phenolic"", ""mild""]"
CCC(C)(CCCC(C)C)OC(=O)C,"SubString{String}[""floral"", ""fresh"", ""bergamot"", ""woody"", ""citrus""]"
CC(CC(=O)OC)SC,"SubString{String}[""sweet"", ""cooked""]"
CCCCCCCC1=CC=CC=N1,"SubString{String}[""floral"", ""geranium"", ""earthy"", ""green""]"
CC1=CC=C(C=C1)CC(C)(C)O,"SubString{String}[""floral"", ""muguet"", ""cumin"", ""green""]"
C[C@@H](C(C)C)S,"SubString{String}[""coffee"", ""roasted"", ""meaty"", ""rubbery"", ""sulfurous"", ""chicken"", ""savory"", ""pork"", ""burnt"", ""beefy"", ""cheesy""]"
CC(C)CN1C=CC=C1,"SubString{String}[""woody"", ""chemical""]"
CC(C)CCOC1=C(C=C(C=C1)CC=C)OC,"SubString{String}[""vanilla"", ""cacao"", ""honey""]"
CCOC(=O)CCC1=CC=CC=C1O,"SubString{String}[""spicy""]"
CC(C)(C)C(=O)OCC1=CC=CC=C1,"SubString{String}[""floral"", ""herbal"", ""chamomile""]"
CCC/C=C\CCC(=O)OC,"SubString{String}[""pineapple"", ""fruity"", ""fresh""]"
CC(C=O)C1CCCCC1,"SubString{String}[""natural"", ""fruity"", ""dusty"", ""fresh"", ""green""]"
CC(C)(C)C1=C(C=CC(=C1)OC)OC,"SubString{String}[""woody"", ""forest"", ""vetiver""]"
C[C@H](C(=O)OCCC(C)CCC=C(C)C)O,"SubString{String}[""floral"", ""natural"", ""lily"", ""of"", ""the"", ""valley"", ""warm""]"
CC(C)C1CCC(CC1)(C)O,"SubString{String}[""sweet"", ""lime"", ""herbal"", ""terpenic"", ""woody"", ""pine""]"
C[C@@H]1CC[C@@H]2[C@@]13C[C@H](C2(C)C)C4(C(C3)OC(O4)(C)C)C,"SubString{String}[""woody"", ""amber"", ""agarwood""]"
CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C,"SubString{String}[""strong"", ""sweet"", ""fruity"", ""amber"", ""powdery"", ""musk""]"
CCCC(CC(=O)OC)O,"SubString{String}[""sweet"", ""juicy"", ""estery"", ""ripe"", ""fruit"", ""overripe"", ""fruity"", ""pineapple"", ""oily"", ""woody"", ""tropical""]"
CC1=CCC(C=C1)C(=C)C,"SubString{String}[""roasted""]"
CC1(CCCC23C1CC(CC2)(C(=O)O3)C)C,"SubString{String}[""dry"", ""ambergris"", ""animal"", ""civet"", ""amber"", ""musk""]"
C[C@@H]1CC[C@H]([C@H]2[C@]1(CCC(=C2)C)O)C(C)C,"SubString{String}[""herbal"", ""tea"", ""green"", ""spicy""]"
CC1=CCC(C2=C1C=CC(=C2)C)C(C)C,"SubString{String}[""woody""]"
CC(=CCC/C(=C\COC=O)/C)C,"SubString{String}[""sweet"", ""metallic"", ""tea"", ""floral"", ""rose"", ""herbal"", ""fruity"", ""green"", ""geranium"", ""tropical"", ""citrus""]"
CC(C)CC1CCCC(C1)(C)O,"SubString{String}[""floral"", ""muguet"", ""citrus""]"
C=CCSC[C@@H](C(=O)O)N,"SubString{String}[""roasted"", ""cooked""]"
CCCC/C=C\C=C\C=O,"SubString{String}[""geranium"", ""pungent"", ""green""]"
CCCCC/C=C\CCC=O,"SubString{String}[""aldehydic"", ""cardamom"", ""orange"", ""watery"", ""citrus""]"
CCCCC/C=C\CC/C=C/C=O,"SubString{String}[""mandarin"", ""aldehydic"", ""spicy"", ""fatty"", ""melon"", ""orange"", ""green"", ""citrus""]"
C1=CC=C(C(=C1)C(=O)O)O.C(CO)N(CCO)CCO,"SubString{String}[""dull"", ""pleasant"", ""sweet""]"
CC1CC(=O)C(=C1C)O,"SubString{String}[""caramellic""]"
CC/C=C\C/C=C\CC=O,"SubString{String}[""cucumber"", ""soapy"", ""fatty""]"
CCCCCCCCCCCCCCCCOP(=O)(O)OCCCCCCCCCCCCCCCC,"SubString{String}[""bland""]"
CCOC(=O)CCCSC,"SubString{String}[""sulfury""]"
CC1=C(C(CCC1)(C)C)C=CC(C)O,"SubString{String}[""sweet"", ""berry"", ""floral"", ""herbal"", ""fruity"", ""violet"", ""powdery"", ""balsamic"", ""woody"", ""tropical""]"
CC1=C(C(CCC1)(C)C)C=CC(C)OC(=O)C,"SubString{String}[""sweet"", ""seedy"", ""berry"", ""floral"", ""strawberry"", ""violet"", ""jammy"", ""raspberry"", ""woody""]"
CC1=CN=CC(=N1)C(=O)C,"SubString{String}[""coffee"", ""roasted"", ""cocoa"", ""popcorn""]"
CC(=O)OC(=C)C1=CC=CC=C1,"SubString{String}[""floral"", ""animal"", ""fecal"", ""phenolic""]"
CC1CCC(C(C1)OC(=O)CCCC(=O)O)C(C)C,"SubString{String}[""minty"", ""menthol""]"
CCCCCC=CCO,"SubString{String}[""vegetable"", ""green""]"
CCCCCCC=CCO,"SubString{String}[""sweet"", ""vegetable"", ""fatty"", ""melon"", ""cucumber""]"
CCCCCCCCCC=CCO,"SubString{String}[""fatty""]"
CC1=CC(=C(C=C1O)C(C)C)O,"SubString{String}[""fennel""]"
CC1=C(C(=CC=C1)C(C)(C)C)O,"SubString{String}[""phenolic"", ""medicinal"", ""leathery""]"
CC1(C2CCC(C2)C1=CCO)C,"SubString{String}[""dry"", ""sawdust"", ""camphoreous"", ""patchouli"", ""woody"", ""minty""]"
CC1CC(CCC1=O)(C)C,"SubString{String}[""thujone""]"
CC(=O)CCCC1=CC=CC=C1,"SubString{String}[""floral"", ""sweet"", ""pea""]"
C=CCCC(=O)C1=CC2(CCCC2)CCC1,"SubString{String}[""fruity"", ""pineapple"", ""galbanum"", ""green""]"
CC(CC(C)(C)C)C(=C)C=O,"SubString{String}[""camphoreous"", ""minty""]"
CC(CCC=C(C)C)C(=C)C=O,"SubString{String}[""petitgrain"", ""fresh"", ""green"", ""bergamot"", ""woody"", ""citrus""]"
CC1=CC[C@H](C=C1)C(C)C,"SubString{String}[""dill""]"
CC1=CC[C@@H](CC1=O)C(=C)C,"SubString{String}[""minty"", ""bready"", ""spicy"", ""caraway""]"
CC1CCC2=C(CCC(CC12)C(C)(C)O)C,"SubString{String}[""spicy""]"
CCC(C)CC(=NO)CC,"SubString{String}[""leafy"", ""fig"", ""cortex"", ""weedy"", ""galbanum"", ""green""]"
CC(CCC=C(C)C)CC=NO,"SubString{String}[""bergamot"", ""lime"", ""citrus""]"
CC(CCC(C(=C)C)O)CCO,"SubString{String}[""rose""]"
CC(=O)C1=CC(CCC1)(C)C,"SubString{String}[""oil"", ""armoise""]"
CCOC(=O)[C@@H]1[C@H](CCCC1(C)C)C,"SubString{String}[""floral"", ""amber"", ""fruity"", ""rose""]"
C[C@@H]1CC[C@H](C=C2C1CC[C@H]2C)C(=C)C,"SubString{String}[""musty""]"
C[C@]1(CC[C@@H](C(O1)(C)C)O)C=C,"SubString{String}[""floral"", ""creamy"", ""sweet""]"
CCCCCCCCCCC=CC#N,"SubString{String}[""mandarin"", ""aldehydic"", ""seashore"", ""fresh"", ""citrus"", ""waxy""]"
C[C@H]1C(=[NH+][C@@H](O1)C)C,"SubString{String}[""musty"", ""vegetable"", ""cocoa"", ""caramellic"", ""nutty"", ""phenolic"", ""bread"", ""crust"", ""brown"", ""bready"", ""woody"", ""nut"", ""skin""]"
CC1=CC(=C(C=C1)O)C(=O)OC,"SubString{String}[""minty"", ""fruity"", ""leathery"", ""cherry""]"
CCOC(=O)[C@@H]1[C@H](O1)C2=CC=CC=C2,"SubString{String}[""sweet"", ""berry"", ""floral"", ""strawberry"", ""honey"", ""fruity"", ""rose"", ""tropical""]"
CCC(C(C)CO)S,"SubString{String}[""onion"", ""sulfurous""]"
CCC(C(C)C=O)S,"SubString{String}[""sulfurous"", ""chicken"", ""garlic"", ""savory"", ""alliaceous"", ""fruit"", ""tropical"", ""onion"", ""beefy"", ""roasted"", ""dairy"", ""cooked"", ""grilled""]"
CC(C)[C@@H](CCC(=O)C)/C=C/C(=C)C,"SubString{String}[""tobacco"", ""melon"", ""fruity""]"
CCOCCC(C)CCCC(C)C,"SubString{String}[""clean"", ""floral"", ""rose"", ""herbal"", ""fresh"", ""green"", ""citrus""]"
CCCCCCCCOC(=O)C=CC,"SubString{String}[""mushroom"", ""fruity"", ""winey"", ""chemical"", ""hay""]"
CCOC/C=C(/C)\CCC=C(C)C,"SubString{String}[""floral"", ""cologne"", ""clean"", ""rose""]"
CCCC=CCO,"SubString{String}[""leafy"", ""fruity"", ""green""]"
CC(=CCC/C(=C/CCC(C)(C=C)OC(=O)C)/C)C,"SubString{String}[""sweet"", ""floral"", ""freesia"", ""fresh"", ""woody"", ""citrus"", ""waxy""]"
CCC1=CCC(=O)O1,"SubString{String}[""spice""]"
CC1C(OC(C(O1)(C)O)C)(C)O,"SubString{String}[""milky"", ""creamy"", ""dairy"", ""buttery""]"
CC(=O)C=CC12C(CCCC1(O2)C)(C)C,"SubString{String}[""sweet"", ""berry"", ""fruity"", ""violet"", ""powdery"", ""woody"", ""orris""]"
C[C@@H]1CC[C@@H]([C@H](C1)O)C(C)C,"SubString{String}[""sweet"", ""musty"", ""herbal"", ""camphoreous"", ""earthy"", ""hay""]"
CSCC=O,"SubString{String}[""mustard"", ""vegetable"", ""sulfurous"", ""garlic"", ""potato"", ""nutty"", ""onion""]"
CC1CCCC2(C1(CCCC2)O)C,"SubString{String}[""earthy"", ""fresh"", ""humus""]"
CCOC(=O)CC(C)SC,"SubString{String}[""earthy"", ""sulfurous"", ""fatty"", ""fruity"", ""pineapple"", ""tropical"", ""waxy""]"
C[C@@H]1CC[C@H]([C@H]2[C@]13[C@@H]2[C@@](CC3)(C)O)C(C)C,"SubString{String}[""minty"", ""spicy""]"
CCCCCC=CC(=O)OCC,"SubString{String}[""juicy"", ""pear"", ""skin"", ""fruity"", ""pineapple"", ""green"", ""tropical"", ""hairy"", ""waxy""]"
CCCCCC=CC=O,"SubString{String}[""herbal"", ""green"", ""fatty""]"
CCC(=O)OCC(=O)OC(C)C1CCCC(C1)(C)C,"SubString{String}[""ambrette"", ""fruity"", ""musk"", ""berry""]"
CCCCC(C)(C)CO,"SubString{String}[""herbal"", ""pungent""]"
CCCCCC=CCOC(=O)C,"SubString{String}[""pear"", ""melon"", ""earthy"", ""tropical""]"
CC1(C2CCC1(C(C2)(C)O)C)C,"SubString{String}[""musty"", ""earthy""]"
C/C=C\C(=O)C1C(=CCCC1(C)C)C,"SubString{String}[""floral"", ""apple"", ""fruity"", ""rose""]"
CC1([C@@H]2CC1CC=C2C=O)C,"SubString{String}[""spicy""]"
